Item Number,Quality,Theme,Name,Location,Built,Notes,,
40165,2,,,Banker Box 1,,,,
40203,1,,,Banker Box 1,,,,
40205,1,,,Banker Box 1,,,,
40086,1,,,Banker Box 1,,,,
40085,2,,,Banker Box 1,,,,
3300020,1,,,Banker Box 1,,,,
40123,1,,,Banker Box 1,,,,
40204,3,,,Banker Box 1,,,,
40093,3,,,Banker Box 1,,,,
40124,1,,,Banker Box 1,,,,
40005,1,,,Banker Box 1,X,,,
40092,2,,,Banker Box 1,,,,
40202,1,,,Banker Box 1,,,,
40201,1,,,Banker Box 1,,,,
40082,1,,,Banker Box 1,,,,
40091,2,,,Banker Box 1,,,,
40092,2,,,Banker Box 2,,,,
40125,1,,,Banker Box 2,,,,
40086,2,,,Banker Box 2,,,,
40090,2,,,Banker Box 2,,,,
40093,1,,,Banker Box 2,,,,
40122,1,,,Banker Box 2,,,,
40106,1,,,Banker Box 2,,,,
40221,1,Creator,,Banker Box 2,,,,P
40220,1,Creator,,Banker Box 2,,,,
40237,1,,,Banker Box 3,,,,
40262,1,,,Banker Box 3,,,,
40263,1,,,Banker Box 3,,,,
40236,2,,,Banker Box 3,,,,
40000,2,,,Banker Box 3,X,One Built,,
3300001,1,,,Banker Box 3,,From Disney World,,
3300014,1,,,Banker Box 3,,,,
40138,1,,,Banker Box 3,,,,
40155,1,,,Banker Box 3,,,,
5002813,1,,,Banker Box 3,,,,
5005156,1,,,Banker Box 3,,,,
853353,1,,,Banker Box 3,,,,
75032,1,Star Wars,X-Wing Fighter,Banker Box 4,,,,
75028,1,Star Wars,Clone Turbo Tamk,Banker Box 4,,,,
4915,1,Creator,Mini Construction,Banker Box 4,,,,
4916,1,Creator,Mini Animals,Banker Box 4,X,,,
6911,1,Creator,Mini Fire Rescue,Banker Box 4,,,,
5761,1,Creator,Mini Digger,Banker Box 4,,,,
4918,1,Creator,Mini Flyers,Banker Box 4,,,,
8130,1,Racers,Terrain Crusher,Banker Box 4,X,,,
5864,1,Creator,Mini Helicopter,Banker Box 4,,,,
5865,1,Creator,Mini Dumper,Banker Box 4,,,,
4837,1,Creator,Mini Train,Banker Box 4,X,,,
31001,1,Creator,Mini Skyflyers,Banker Box 4,X,,,
4917,1,Creator,Mini Robots,Banker Box 4,X,,,
70902,1,The Batman Movie,Catwoman Catcycle Chase,Banker Box 4,,,,
70901,1,The Batman Movie,Mr Freeze Ice Attack,Banker Box 4,,,,
10708,1,Classic,Green Creativity Box,Banker Box 4,,,,
31015,2,Creator,Emerald Express,Banker Box 4,,,,
31041,1,Creator,Construction Vehicles,Banker Box 4,,,,
7049,1,Alien Conquest,Alien Striker,Banker Box 4,X,,,
7953,1,Kingdoms,Jester,Banker Box 4,X,,,
7955,1,Kingdoms,Wizard,Banker Box 4,X,,,
6239,1,Pirates,Cannon Battle,Banker Box 4,,,,
76008,1,Marvel Super Heroes,Iron Man vs The Mandarin Ultimate Showdiwn,Banker Box 4,,,,
70700,1,Galaxey Squad,Space Swarmer,Banker Box 4,,,,
9461,1,Monster Fighters,The Swamp Creature,Banker Box 4,,,,
9462,1,Monster Fighters,The Mummy,Banker Box 4,,,,
60032,2,City,Arctic Snowmobile,Banker Box 4,,,,
60006,1,City,Police ATV,Banker Box 4,,,,
60000,1,City,Fire Motorcycle,Banker Box 5,,,,
4641,2,City,Speed Boat,Banker Box 5,X,One Built,,
5612,3,City,Police Officer,Banker Box 5,X,One Built,,
5613,1,City,Firefighter,Banker Box 5,,,,
7566,2,City,Farmer,Banker Box 5,X,One Built,,
7567,2,City,Traveler,Banker Box 5,X,One Built,,
8398,2,City,BBQ Stand,Banker Box 5,X,One Built,,
3177,1,City,Small Car,Banker Box 5,X,,,
7235,1,City,Police MC,Banker Box 5,,,,
7736,1,City,Coast Guard Qued Bike,Banker Box 5,X,,,
7241,1,City,Fire Car,Banker Box 5,X,,,
60106,1,City,Fire Starter Set,Banker Box 5,,,,
60091,1,City,Deep Sea Starter Set,Banker Box 5,,,,
60120,2,City,Volcano Starter Set,Banker Box 5,,,,
60066,1,City,Swamp Police Starter Set,Banker Box 5,,,,
60001,2,City,Fire Chief Car,Banker Box 5,,,,
60144,1,City,Race Plane,Banker Box 5,,,,
60100,2,City,Airport Starter Set,Banker Box 5,,,,
7279,1,City,Police Minifigure Collection,Banker Box 5,,,,
8402,2,City,Sports Car,Banker Box 5,X,One Built,,
60019,1,City,Stunt Plane,Banker Box 6,,,,
3179,1,City,Repair Truck,Banker Box 6,x,,,
60033,1,City,Artic Ice Crawler,Banker Box 6,,,,
7638,1,City,Tow Truck,Banker Box 6,x,,,
7236,1,City,Police Car,Banker Box 6,x,,,
7942,1,City,Off Road Fire Rescue,Banker Box 6,,,,
7741,1,City,Police Helicopter,Banker Box 6,x,,,
7286,1,City,Prisoner Transport,Banker Box 6,x,,,
4642,1,City,Fishing Boat,Banker Box 6,x,,,
4437,1,City,Police Pursuit,Banker Box 6,x,,,
60043,1,City,Prisoner Transport,Banker Box 6,,,,
4208,1,City,4x4 Fire Truck,Banker Box 7,x,,,
4431,1,City,Ambulance,Banker Box 7,x,,,
3180,1,City,Tank Truck,Banker Box 7,x,,,
7639,1,City,Camper,Banker Box 7,x,,,
60058,1,City,SUV with Watercrajf,Banker Box 7,,,,
60163,1,City,Coast Guard Starter Set,Banker Box 7,,,,
3178,1,City,Seaplane,Banker Box 7,,,,
9496,1,Star Wars,Desert Skiff,Banker Box 8,,,,
9490,1,Star Wars,Droid Escape,Banker Box 8,,,,
8084,1,Star Wars,Snowtrooper Battle Pack,Banker Box 8,x,,,
8083,1,Star Wars,Rebel Trooper Battle Pack,Banker Box 8,x,,,
7913,1,Star Wars,Clone Trooper Battle Pack,Banker Box 8,x,,,
7914,1,Star Wars,Mandalorian Battle Pack,Banker Box 8,x,,,
8014,1,Star Wars,Clone Walker Battle Pack,Banker Box 8,,,,
75000,1,Star Wars,Clone Trooper vs. Droldekas,Banker Box 8,,,,
75001,1,Star Wars,Republic Trooper vs. Sith Troopers,Banker Box 8,,,,
75126,1,Star Wars,First Order Snowspeeder,Banker Box 8,,,,
8092,1,Star Wars,Luke's Landspeeder,Banker Box 8,,,,
66514,1,Star Wars,3 pack,,,,,
66534,1,Star Wars,3 pack - series 2,,,,,
42027,1,Technic,Desert Racer,Banker Box 9,,,,
42021,1,Technic,Snowmobile,Banker Box 9,,,,
42002,1,Technic,Hovercraft,Banker Box 9,,,,
42060,1,Technic,Roadwork Crew,Banker Box 9,,,,
8066,1,Technic,Off-Roader,Banker Box 9,,,,
8256,1,Technic,Go-Kart,Banker Box 9,x,,,
9391,1,Technic,Crawler Crane,Banker Box 9,x,,,
42001,2,Technic,Mini Off-Roader,Banker Box 9,,,,
42020,2,Technic,Twin-rotor Helicopter,Banker Box 9,,,,
8071,1,Technic,Bucket Truck,Banker Box 10,,,,
9392,1,Technic,Quad Bike,Banker Box 10,x,,,
42036,1,Technic,Street Bike,Banker Box 10,,,,
9393,1,Technic,Tractor,Banker Box 10,,,,
8260,1,Technic,Tractor,Banker Box 10,x,,,
21301,1,Lego Ideas,Birds,Banker Box 11,,,,
852522,2,,Name Plate,Banker Box 11,,,,
40263,1,Holiday,,Banker Box 11,,,,
40290,1,,60 Years VIP,Banker Box 11,,,,
40228,1,ToysRUs,Jeffery Garafe,Banker Box 11,,,,
40235,1,,Year of the Dog,Banker Box 11,,,,
40202,1,Holiday,Chicken,Banker Box 11,,,,
79000,1,Hobbit,Riddles for The Ring,Banker Box 11,x,,,
79005,1,The Lord of the Rings,The Wizard Battle,Banker Box 11,,,,
70400,1,Castle,Forest Ambush,Banker Box 11,,,,
40262,1,Holiday,Holloween,Banker Box 11,,,,
70335,1,Nexo Knights,Ultimate Lavaria,Banker Box 11,,,,
5003082,1,,Lego System 2015,Banker Box 11,,,,
60053,1,City,Race Car,Banker Box 12,,,,
70400,1,Castle,Forest Ambush,Banker Box 12,x,,,
79107,1,The Lone Ranger,Comanche Camp,Banker Box 12,,,,
4192,1,Pirates of the Caribbean,Fountaion of Youth,Banker Box 12,,,,
7236,1,City,Police Car,Banker Box 12,,,,
852741,1,Holiday,Holiday Countdown Candle,Banker Box 12,x,,,
7634,1,City,Tractor,Banker Box 12,x,,,
60106,1,City,Fire Starter Set,Banker Box 12,,,,
21312,1,Lego Ideas,Woman of Nasa,Banker Box 12,,,,
21110,1,Lego Ideas,Woman of Science,Banker Box 12,,,,
5005248,2,,Easter - giveaway,Banker Box 12,,,,
8533580,1,,Key Rack,Banker Box 12,,,,
5005359,1,Minifigure frames,Minifigure Collector Frame,Banker Box 12,,,,
70818,1,The Lego Movie,Double-Decker Couch,Banker Box 13,,,,
21003,1,Architecture,Seattle Space Needle,Banker Box 13,x,,,
4192,1,Pirates of the Caribbean,Fountaion of Youth,Banker Box 13,,,,
7634,2,City,Tractor,Banker Box 13,x,,,
7595,1,Toy Story,Army Men On Patrol,Banker Box 13,x,,,
7285,1,City,Police Dog Unit,Banker Box 13,x,,,
7306,1,Pharaoh's Quest,Golden Staff Guardians,Banker Box 13,,,,
7977,2,Atlantis,Seabed Strider,Banker Box 13,,,,
7620,1,Indiana Jones,Indiana Jones Motorcycle Chase,Banker Box 13,,,,
31043,1,Creator,Chopper Transporter,Banker Box 13,,,,
6818,1,Kingdoms,Blacksmith Attack,Banker Box 13,,,,
7949,1,Kingdoms,Prison Carriage Rescue,Banker Box 13,x,,,
8399,1,Space Police,K9-Bot,Banker Box 13,x,Missing minifigure,,
5883,1,Dino,Tower Takedown,Banker Box 14,,,,
7050,1,Alien Conquest,Alien Defender,Banker Box 14,x,,,
9462,1,Monster Fighters,The Mummy,Banker Box 14,x,,,
6865,1,Marvel Super Heroes,Captain America's Avenging Cycle,Banker Box 14,x,,,
9469,1,The Lord of the Rings,Gandalf Arrives,Banker Box 14,x,,,
4865,1,Harry Potter,The Forbidden Forest,Banker Box 14,x,,,
9489,1,Star Wars,Endor Rebel Trooper & Imperial Trooper Battle Pack,Banker Box 14,x,,,
9390,1,Technic,Mini Tow Truck,Banker Box 14,x,,,
6858,1,DC Super Heroes,Catwoman Catcycle City Chase,Banker Box 14,x,,,
9488,1,Star Wars,Elite Clone Trooper & Commando Droid Battle Pack,Banker Box 14,x,,,
4436,1,City,Patrol Car,Banker Box 14,x,,,
3177,1,City,Small Car,Banker Box 14,x,,,
70700,1,Galaxey Squad,Space Swarmer,Banker Box 14,x,,,
4191,1,Pirates of the Caribbean,The Captains's Cabin,Banker Box14,x,,,
9461,1,Monster Fighters,The Swamp Creature,Banker Box 14,x,,,
60000,1,City,Fire Motorcycle,Banker Box 14,x,,,
3365,1,City,Space Moon Buggy,Banker Box 14,x,,,
60006,1,City,Police ATV,Banker Box 14,x,,,
4427,1,City,Fire ATV,Banker Box 14,x,,,
7305,1,Pharaoh's Quest,Scarab Attack,Banker Box 14,x,,,
70823,1,Lego Movie 2,Emmet's Thircyclet,Banker Box 15,,,,
70821,1,Lego Movie 2,Emmet and Benny's Build and Fix Workshop,Banker Box 15,,,,
60220,1,City,Garbage Truck,Banker Box 15,,,,
60083,1,City,Snowplow Truck,Banker Box 15,,,,
60117,1,City,Van & Caravan,Banker Box 15,,,,
60150,1,City,Pizza Van,Banker Box 15,,,,
7991,1,City,Garbage Truck,Banker Box 15,,,,
60101,1,City,Airport Cargo Plane,Banker Box 15,,,,
31093,1,Creator,Riverside Houseboat,Banker Box 16,,,,
4201,1,City,Loader and Dump Truck,Banker Box 16,,,,
60149,1,City,4x4 with Catamaran,Banker Box 16,,,,
60059,1,City,Logging Truck,Banker Box 16,,,,
7630,1,City,Front-end Loader,Banker Box 16,x,,,
60019,1,City,Stunt Plane,Banker Box 16,,,,
40371,1,Seasonal,Easter Egg,Banker Box 16,,,,
60212,1,City,Barbecue Burn Out,Banker Box 16,,,,
60072,1,City,Demolition Start Set,Banker Box 16,,,,
40170,1,City,Accessory Set,Banker Box 16,,,,
31066,1,Creator,Space Shuttle Explorer,Banker Box 17,,,,
60182,2,City,Pickup & Caravan,Banker Box 17,,,,
60223,1,City,Harvester Transport,Banker Box 17,,,,
60267,1,City,Safari Off-roader,Banker Box 17,,,,
21314,1,Lego Ideas,Tron,Banker Box 17,,,,
42092,1,Technic,Rescue Helicopter,Banker Box 18,,,,
60179,1,City,Ambulance Helicopter,Banker Box 18,,,,
60202,1,City,People Pack Outdoor Adventure,Banker Box 18,,,,
60191,1,City,Arctic Exploration Team,Banker Box 18,,,,
45022,1,Education,Community Minifigure Set,Banker Box 18,,,,
40408,1,Hidden Side,Drag Racer,Banker Box 18,,,,
7741,1,City,Police Helicopter,Banker Box 18,,,,
60012,1,City,4x4 & Diving Boat,Banker Box 18,,,,
6918,1,Kingdoms,Blacksmith Attack,Banker Box 18,x,,,
5613,1,City,Firefighter,Banker Box 18,x,,,
8201,1,Cars 2,Classic Mater,Banker Box 18,x,,,
7950,1,Kingdoms,Knight's Showdown,Banker Box 18,x,,,
40350,1,Brick Heads,Chicken,Banker Box 18,x,,,
40260,1,Holiday,Holloween Huant,Banker Box 18,,,,
31066,1,Creator,Space Shuttle Explorer,Banker Box 19,,,,
60078,1,City,Utility Shuttle,Banker Box 19,,,,
60230,1,City,People Pack - Space Research and Development,Banker Box 19,,,,
3366,1,City,Satellite Launch Pad,Banker Box 19,,,,
60077,1,City,Space Starter Set,Banker Box 19,,,,
40335,1,Lego Ideas,Space Rocket Ride,Banker Box 19,,,,
40345,1,City,Space Exclusive Minifigures,Banker Box 19,,,,
30365,1,City,Space Satellite,Banker Box 19,,,,
60226,1,City,Mars Research Shuttle,Banker Box 19,,,,
7746,1,City,Single-Drum Roller,Banker Box 20,,,,
7052,1,Alien Conquest,UFO Aduction,Banker Box 20,,,,
60160,1,City,Jungle Mobile Lab,Banker Box 20,,,,
60108,1,City,Fire Response Unit,Banker Box 20,,,,
4206,1,City,Recycling Truck,Banker Box 20,,,,
21302,1,Lego Ideas,The Big Bang Theory,Banker Box 21,x,,,
60165,1`,City,4x4 Response Unit,Banker Box 21,,,,
4208,1,City,4x4 Fire Truck,Banker Box 21,x,,,
4432,1,City,Garbage Truck,Banker Box 21,x,,,
7631,1,City,Dump Truck,Banker Box 21,x,,,
3177,1,City,Small Car,Banker Box 21,,,,
5004932,2,Lego Exclusive,Travel Building Suitcase,Banker Box 21,,,,
80103,1,Asia Exclusive,Dragon Boat Race,Banker Box 22,,,,
8048,1,Technic,Buggy,Banker Box 22,x,,,
21313,1,Lego Ideas,Ship in a bottle,Banker Box 22,,,,
42040,1,Technic,Fire Plane,Banker Box 22,,,,
21109,1,Lego Ideas,Exosuit,Banker Box 22,,,,
3740,1,Train,My Own train,Banker Box 23,,,,
31080,1,Creator,Modular Winter Vaction,Banker Box 23,,,,
4435,1,City,Car & Caravan,Banker Box 23,x,,,
9730,1,MindStorms ,Robo Sports Expansion Set,Banker Box 23,,,,
7630,1,City,Front-end Loader,Banker Box 23,x,,,
60173,1,City,Mountain Arrest,Banker Box 24,,,,
60049,1,City,Helicopter Transporter,Banker Box 24,,,,
21305,1,Lego Ideas,Maze,Banker Box 24,,,,
75828,1,Ghostbusters,2016 Movie,Banker Box 24,,,,
60183,1,City,Heavy Cargo Transport,Banker Box 25,,,,
60122,1,City,Volcano Crawler,Banker Box 25,,,,
8261,1,Technic,Rally Truck,Banker Box 25,x,,,
6745,1,Creator,Propeller Power,Banker Box 25,x,,,
60179,1,City,Ambulance Helicopter,Banker Box 25,,Damaged Box,,
21320,1,Lego Ideas,Dinosaurs,Banker Box 26,,,,
8047,1,Technic,Compact Excavator,Banker Box 26,x,,,
21303,1,Lego Ideas,Wall-E,Banker Box 26,x,,,
70801,1,Lego Movie,Melting Room,Banker Box 26,x,,,
76125,1,Avengers,Iron Man Hall Of Armor,Banker Box 26,,,,
,1,Non - Lego,Menorah,Banker Box 26,,,,
8825,1,Technic,Night Chopper,Banker Box 27,x,No Orginal Box,,
4595,1,Racers,Maverick Sprinter & Hot Arrow,Banker Box 27,x,No Orginal Box,,
6579,1,Artic,Ice Surfer,Banker Box 27,x,No Orginal Box,,
7312,1,Mars,T3-Trike,Banker Box 27,x,No Orginal Box,,
8915,1,Bionicle,Toa Matoro,Banker Box 27,x,No Orginal Box,,
8291,1,Technic,Mini Forklift,Banker Box 27,x,No Orginal Box,,
8434,1,Technic,Aircraft,Banker Box 27,x,No Orginal Box,,
8272,1,Technic,Snow Mobile,Banker Box 27,x,No Orginal Box,,
8283,1,Technic,Telehandler,Banker Box 27,x,No Orginal Box,,
4940,1,Rock Raider,The Hover Scout,Banker Box 27,x,No Orginal Box - Missing Instructions,,
853176,1,Pharoh's Quest,Skeletion Mummy Battle Pack,Banker Box 28,,,,
8274,1,Technic,Combine Harvester,Banker Box 28,x,No Orginal Box,,
10175,1,Star Wars,Vader's Tie Advanced,Banker Box 28,x,No Orginal Box,,
8288,1,Technic,Crawler Crane,Banker Box 28,x,No Orginal Box,,
8281,1,Technic,Mini Tractor Technic,Banker Box 29,x,No Orginal Box,,
8812,1,Technic,Aero Hawk II,Banker Box 29,x,No Orginal Box,,
2129,1,Technic,Blast-Off Dragster,Banker Box 29,x,No Orginal Box,,
7239,1,City,Fire Truck,Banker Box 29,x,No Orginal Box,,
10174,1,Star Wars,AT-ST,Banker Box 29,x,No Orginal Box,,
--,1,Minifigures - Set,Series 9,Banker Box 30,,,,
--,1,Minifigures - Set,Series 16,Banker Box 30,,,,
--,1,Minifigures - Set,Disney Series 2,Banker Box 30,,,,
--,1,Minifigures - Set,Series 13,Banker Box 30,,,,
--,1,Minifigures - Set,Series 19,Banker Box 30,,,,
--,1,Minifigures - Set,Series 17,Banker Box 30,,,,
--,1,Minifigures - Set,Batman Movie,Banker Box 30,,,,
--,1,Minifigures - Set,Series 15,Banker Box 30,,,,
--,2,Minifigures - Set,Batman Movie - 2,Banker Box 30,,,,
--,1,Minifigures - Set,The Lego Movie,Banker Box 30,,,,
--,1,Minifigures - Set,Disney Series 1,Banker Box 30,,,,
--,1,Minifigures - Set,Harry Potter,Banker Box 30,,,,
--,1,Minifigures - Set,Series 20,Banker Box 30,,,,
--,1,Minifigures - Set,Series 14,Banker Box 31,,,,
--,1,Minifigures - Set,Series 11,Banker Box 31,,,,
--,1,Minifigures - Set,The Simpsons,Banker Box 31,,,,
--,1,Minifigures - Set,Series 12,Banker Box 31,,,,
--,1,Minifigures - Set,Custome Apollo 13 & Gene Kranz,Banker Box 31,,,,
8909,2,Minifigures - Set,Team GB - London Olympics,Banker Box 31,,One on Display Lego Room,,
--,1,Minifigures - Set,Series 18,Banker Box 31,,,,
--,1,Minifigures - Set,Series 6,Banker Box 31,,Not Complete,,
--,1,Minifigures - Set,Series 5,Banker Box 31,,Not Complete,,
--,1,Minifigures - Set,Series 7,Banker Box 31,,Not Complete,,
--,1,Minifigures - Set,Series 4,Banker Box 31,,Not Complete,,
--,1,Minifigures - Set,Series 3,Banker Box 31,,Not Complete,,
60214,1,City,Burger Bar Fire Rescue,Banker Box 32,x,,,
42074,1,Technic,Racing Yacht,Banker Box 32,x,,,
42075,1,Technic,First Respondor,Banker Box 32,x,,,
60183,1,City,Heavy Cargo Transport,Banker Box 32,x,,,
60158,1,City,Jungle Cargo Helicopter,Banker Box 32,x,,,
40118,1,,Builder Brick Box 2x2,Banker Box 33,x,,,
60222,1,City,Snow Groomer,Banker Box 33,x,,,
60164,1,City,Sea Rescue Plane,Banker Box 33,x,,,
60107,1,City,Fire Ladder Truck,Banker Box 33,x,,,
31045,1,Creator,Ocean Explorer,Banker Box 33,x,,,